	Mat and Pat have 63 friends:
Aleksandr Balandin
Aleksandr Serebrov
Aydyn Aimbetov
Aydyn Aimbetov 
Buzz Aldrin
Buzz Aldrin 
Charles Bolden
Charles Camarda
Charlie Bassett
Clayton Anderson
Curtis Brown
Daniel Barry
Daniel Burbank
Daniel Bursch
David Saint-Jacques
David Saint-Jacques 
David Scott
Ellen S. Baker
Eric A. Boe
Fernando Caldeiro
Frank Borman
Gennadi Sarafanov
Hans Schlegel
James Adamson
James Buchli
James P. Bagian
Jay C. Buckey
Jerome Apt
John S. Bull
John-David F. Bartoe
Joseph M. Acaba
Joseph P. Allen
Kayla Barron
Kenneth Bowersox
Kenneth D. Cameron
Loren Acton
Loren Acton 
Michael Alsbury
Michael Alsbury 
Michael R. Barratt
Paul Scully-Power 
Rakesh Sharma
Rhea Seddon
Richard R. Arnold
Richard R. Arnold 
Robert D. Cabana
Ronald Sega 
Sergei Avdeyev
Svetlana Savitskaya
Thomas Akers
Thomas Akers 
Toktar Aubakirov
Valentin Bondarenko
Valery Bykovsky
Vance Brand
Vitali Sevastyanov
Vladimir Aksyonov
Vladimir Aksyonov 
Yuri Artyukhin
Yuri Baturin
Yuri Shargin
Yvonne Cagle
